,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,E_OFF_RATING_A,OFF_RATING_A,E_DEF_RATING_A,DEF_RATING_A,E_NET_RATING_A,NET_RATING_A,AST_PCT_A,AST_TOV_A,AST_RATIO_A,OREB_PCT_A,DREB_PCT_A,REB_PCT_A,E_TM_TOV_PCT_A,TM_TOV_PCT_A,EFG_PCT_A,TS_PCT_A,USG_PCT_A,E_USG_PCT_A,E_PACE_A,PACE_A,PACE_PER40_A,POSS_A,PIE_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,E_OFF_RATING_B,OFF_RATING_B,E_DEF_RATING_B,DEF_RATING_B,E_NET_RATING_B,NET_RATING_B,AST_PCT_B,AST_TOV_B,AST_RATIO_B,OREB_PCT_B,DREB_PCT_B,REB_PCT_B,E_TM_TOV_PCT_B,TM_TOV_PCT_B,EFG_PCT_B,TS_PCT_B,USG_PCT_B,E_USG_PCT_B,E_PACE_B,PACE_B,PACE_PER40_B,POSS_B,PIE_B,Unnamed: 0.1
415,22200208,1610612752,Knicks,NYK,New York,240:00,112.4,114.6,108.6,107.8,3.8,6.8,0.591,1.86,18.1,0.321,0.673,0.49,13.333,13.6,0.532,0.567,1.0,0.197,103.6,103.0,85.83,103,0.505,1610612762,Jazz,UTA,Utah,240:00,108.6,107.8,112.4,114.6,-3.8,-6.8,0.806,1.38,19.8,0.327,0.679,0.51,20.548,20.4,0.518,0.577,1.0,0.198,103.6,103.0,85.83,103,0.495,177.0
416,22200209,1610612759,Spurs,SAS,San Antonio,240:00,109.5,112.2,118.9,120.6,-9.4,-8.4,0.773,1.79,23.4,0.289,0.725,0.494,18.909,19.4,0.571,0.595,1.0,0.196,99.46,97.5,81.25,98,0.485,1610612757,Trail Blazers,POR,Portland,240:00,118.9,120.6,109.5,112.2,9.4,8.4,0.537,1.29,17.0,0.275,0.711,0.506,17.269,17.5,0.614,0.647,1.0,0.195,99.46,97.5,81.25,97,0.515,178.0
417,22200209,1610612757,Trail Blazers,POR,Portland,240:00,118.9,120.6,109.5,112.2,9.4,8.4,0.537,1.29,17.0,0.275,0.711,0.506,17.269,17.5,0.614,0.647,1.0,0.195,99.46,97.5,81.25,97,0.515,1610612759,Spurs,SAS,San Antonio,240:00,109.5,112.2,118.9,120.6,-9.4,-8.4,0.773,1.79,23.4,0.289,0.725,0.494,18.909,19.4,0.571,0.595,1.0,0.196,99.46,97.5,81.25,98,0.485,179.0
418,22200210,1610612758,Kings,SAC,Sacramento,240:00,135.4,140.4,110.5,111.0,24.9,29.4,0.696,2.29,24.2,0.341,0.878,0.61,15.044,15.6,0.702,0.729,1.0,0.198,111.26,109.0,90.83,109,0.611,1610612751,Nets,BKN,Brooklyn,240:00,110.5,111.0,135.4,140.4,-24.9,-29.4,0.625,1.47,18.2,0.122,0.659,0.39,15.522,15.6,0.562,0.633,1.0,0.199,111.26,109.0,90.83,109,0.389,180.0
419,22200210,1610612751,Nets,BKN,Brooklyn,240:00,110.5,111.0,135.4,140.4,-24.9,-29.4,0.625,1.47,18.2,0.122,0.659,0.39,15.522,15.6,0.562,0.633,1.0,0.199,111.26,109.0,90.83,109,0.389,1610612758,Kings,SAC,Sacramento,240:00,135.4,140.4,110.5,111.0,24.9,29.4,0.696,2.29,24.2,0.341,0.878,0.61,15.044,15.6,0.702,0.729,1.0,0.198,111.26,109.0,90.83,109,0.611,181.0
420,22200211,1610612754,Pacers,IND,Indiana,240:00,121.8,120.2,106.7,107.6,15.1,12.6,0.614,1.93,19.8,0.205,0.627,0.444,13.64,13.5,0.604,0.653,1.0,0.199,104.28,104.5,87.08,104,0.567,1610612766,Hornets,CHA,Charlotte,240:00,106.7,107.6,121.8,120.2,-15.1,-12.6,0.674,1.61,19.5,0.373,0.795,0.556,16.994,17.1,0.521,0.554,1.0,0.198,104.28,104.5,87.08,105,0.433,182.0
421,22200211,1610612766,Hornets,CHA,Charlotte,240:00,106.7,107.6,121.8,120.2,-15.1,-12.6,0.674,1.61,19.5,0.373,0.795,0.556,16.994,17.1,0.521,0.554,1.0,0.198,104.28,104.5,87.08,105,0.433,1610612754,Pacers,IND,Indiana,240:00,121.8,120.2,106.7,107.6,15.1,12.6,0.614,1.93,19.8,0.205,0.627,0.444,13.64,13.5,0.604,0.653,1.0,0.199,104.28,104.5,87.08,104,0.567,183.0
422,22200212,1610612753,Magic,ORL,Orlando,240:00,103.4,106.9,122.0,124.8,-18.6,-17.8,0.5,1.31,15.3,0.314,0.778,0.531,15.314,15.8,0.5,0.537,1.0,0.197,103.9,101.0,84.17,101,0.384,1610612750,Timberwolves,MIN,Minnesota,240:00,122.0,124.8,103.4,106.9,18.6,17.8,0.609,2.55,20.1,0.222,0.686,0.469,10.647,10.9,0.591,0.628,1.0,0.194,103.9,101.0,84.17,101,0.616,184.0
423,22200212,1610612750,Timberwolves,MIN,Minnesota,240:00,122.0,124.8,103.4,106.9,18.6,17.8,0.609,2.55,20.1,0.222,0.686,0.469,10.647,10.9,0.591,0.628,1.0,0.194,103.9,101.0,84.17,101,0.616,1610612753,Magic,ORL,Orlando,240:00,103.4,106.9,122.0,124.8,-18.6,-17.8,0.5,1.31,15.3,0.314,0.778,0.531,15.314,15.8,0.5,0.537,1.0,0.197,103.9,101.0,84.17,101,0.384,185.0
424,22200213,1610612764,Wizards,WAS,Washington,240:00,118.2,118.8,122.9,119.8,-4.7,-1.0,0.727,1.68,22.1,0.31,0.775,0.537,18.723,18.8,0.61,0.642,1.0,0.199,99.96,101.0,84.17,101,0.53,1610612760,Thunder,OKC,Oklahoma City,240:00,122.9,119.8,118.2,118.8,4.7,1.0,0.545,1.6,18.3,0.225,0.69,0.463,15.238,14.9,0.642,0.654,1.0,0.201,99.96,101.0,84.17,101,0.47,186.0
425,22200213,1610612760,Thunder,OKC,Oklahoma City,240:00,122.9,119.8,118.2,118.8,4.7,1.0,0.545,1.6,18.3,0.225,0.69,0.463,15.238,14.9,0.642,0.654,1.0,0.201,99.96,101.0,84.17,101,0.47,1610612764,Wizards,WAS,Washington,240:00,118.2,118.8,122.9,119.8,-4.7,-1.0,0.727,1.68,22.1,0.31,0.775,0.537,18.723,18.8,0.61,0.642,1.0,0.199,99.96,101.0,84.17,101,0.53,187.0
426,22200214,1610612738,Celtics,BOS,Boston,240:00,124.3,124.8,99.3,98.1,25.0,26.7,0.604,1.93,21.3,0.175,0.738,0.515,14.793,14.9,0.665,0.682,1.0,0.199,101.56,102.0,85.0,101,0.609,1610612737,Hawks,ATL,Atlanta,240:00,99.3,98.1,124.3,124.8,-25.0,-26.7,0.5,2.33,15.4,0.262,0.825,0.485,8.848,8.7,0.45,0.473,1.0,0.199,101.56,102.0,85.0,103,0.391,188.0
427,22200214,1610612737,Hawks,ATL,Atlanta,240:00,99.3,98.1,124.3,124.8,-25.0,-26.7,0.5,2.33,15.4,0.262,0.825,0.485,8.848,8.7,0.45,0.473,1.0,0.199,101.56,102.0,85.0,103,0.391,1610612738,Celtics,BOS,Boston,240:00,124.3,124.8,99.3,98.1,25.0,26.7,0.604,1.93,21.3,0.175,0.738,0.515,14.793,14.9,0.665,0.682,1.0,0.199,101.56,102.0,85.0,101,0.609,189.0
428,22200215,1610612761,Raptors,TOR,Toronto,240:00,119.6,119.1,109.8,111.8,9.7,7.3,0.523,1.64,17.3,0.422,0.818,0.59,14.944,14.9,0.552,0.585,1.0,0.201,94.18,93.5,77.92,94,0.55,1610612748,Heat,MIA,Miami,240:00,109.8,111.8,119.6,119.1,-9.7,-7.3,0.528,0.83,16.1,0.182,0.578,0.41,24.292,24.7,0.644,0.687,1.0,0.199,94.18,93.5,77.92,93,0.45,190.0
429,22200215,1610612748,Heat,MIA,Miami,240:00,109.8,111.8,119.6,119.1,-9.7,-7.3,0.528,0.83,16.1,0.182,0.578,0.41,24.292,24.7,0.644,0.687,1.0,0.199,94.18,93.5,77.92,93,0.45,1610612761,Raptors,TOR,Toronto,240:00,119.6,119.1,109.8,111.8,9.7,7.3,0.523,1.64,17.3,0.422,0.818,0.59,14.944,14.9,0.552,0.585,1.0,0.201,94.18,93.5,77.92,94,0.55,191.0
430,22200216,1610612749,Bucks,MIL,Milwaukee,240:00,114.3,120.2,104.8,103.2,9.4,17.1,0.634,1.86,18.9,0.392,0.837,0.61,14.159,14.9,0.57,0.577,1.0,0.202,96.18,94.5,78.75,94,0.555,1610612739,Cavaliers,CLE,Cleveland,240:00,104.8,103.2,114.3,120.2,-9.4,-17.1,0.611,2.75,18.1,0.163,0.608,0.39,8.558,8.4,0.5,0.536,1.0,0.201,96.18,94.5,78.75,95,0.445,192.0
431,22200216,1610612739,Cavaliers,CLE,Cleveland,240:00,104.8,103.2,114.3,120.2,-9.4,-17.1,0.611,2.75,18.1,0.163,0.608,0.39,8.558,8.4,0.5,0.536,1.0,0.201,96.18,94.5,78.75,95,0.445,1610612749,Bucks,MIL,Milwaukee,240:00,114.3,120.2,104.8,103.2,9.4,17.1,0.634,1.86,18.9,0.392,0.837,0.61,14.159,14.9,0.57,0.577,1.0,0.202,96.18,94.5,78.75,94,0.555,193.0
432,22200217,1610612740,Pelicans,NOP,New Orleans,240:00,125.8,126.5,108.4,111.1,17.4,15.4,0.698,2.0,21.3,0.318,0.766,0.549,15.219,15.3,0.606,0.649,1.0,0.197,100.02,98.5,82.08,98,0.577,1610612741,Bulls,CHI,Chicago,240:00,108.4,111.1,125.8,126.5,-17.4,-15.4,0.568,2.08,18.7,0.234,0.682,0.451,11.825,12.1,0.556,0.57,1.0,0.199,100.02,98.5,82.08,99,0.423,194.0
433,22200217,1610612741,Bulls,CHI,Chicago,240:00,108.4,111.1,125.8,126.5,-17.4,-15.4,0.568,2.08,18.7,0.234,0.682,0.451,11.825,12.1,0.556,0.57,1.0,0.199,100.02,98.5,82.08,99,0.423,1610612740,Pelicans,NOP,New Orleans,240:00,125.8,126.5,108.4,111.1,17.4,15.4,0.698,2.0,21.3,0.318,0.766,0.549,15.219,15.3,0.606,0.649,1.0,0.197,100.02,98.5,82.08,98,0.577,195.0
434,22200218,1610612745,Rockets,HOU,Houston,240:00,101.4,103.1,89.0,93.9,12.4,9.2,0.6,0.91,16.2,0.293,0.732,0.571,23.102,23.5,0.533,0.59,1.0,0.193,101.46,98.0,81.67,98,0.633,1610612742,Mavericks,DAL,Dallas,240:00,89.0,93.9,101.4,103.1,-12.4,-9.2,0.677,3.5,15.3,0.268,0.707,0.429,5.805,6.1,0.363,0.417,1.0,0.198,101.46,98.0,81.67,98,0.367,196.0
435,22200218,1610612742,Mavericks,DAL,Dallas,240:00,89.0,93.9,101.4,103.1,-12.4,-9.2,0.677,3.5,15.3,0.268,0.707,0.429,5.805,6.1,0.363,0.417,1.0,0.198,101.46,98.0,81.67,98,0.367,1610612745,Rockets,HOU,Houston,240:00,101.4,103.1,89.0,93.9,12.4,9.2,0.6,0.91,16.2,0.293,0.732,0.571,23.102,23.5,0.533,0.59,1.0,0.193,101.46,98.0,81.67,98,0.633,197.0
436,22200219,1610612752,Knicks,NYK,New York,240:00,106.4,112.8,105.3,109.6,1.1,3.2,0.649,3.0,18.5,0.235,0.75,0.485,8.029,8.5,0.488,0.543,1.0,0.195,98.72,94.0,78.33,94,0.573,1610612743,Nuggets,DEN,Denver,240:00,105.3,109.6,106.4,112.8,-1.1,-3.2,0.5,1.2,14.5,0.25,0.765,0.515,15.337,16.0,0.524,0.567,1.0,0.198,98.72,94.0,78.33,94,0.427,198.0
437,22200219,1610612743,Nuggets,DEN,Denver,240:00,105.3,109.6,106.4,112.8,-1.1,-3.2,0.5,1.2,14.5,0.25,0.765,0.515,15.337,16.0,0.524,0.567,1.0,0.198,98.72,94.0,78.33,94,0.427,1610612752,Knicks,NYK,New York,240:00,106.4,112.8,105.3,109.6,1.1,3.2,0.649,3.0,18.5,0.235,0.75,0.485,8.029,8.5,0.488,0.543,1.0,0.195,98.72,94.0,78.33,94,0.573,199.0
438,22200220,1610612756,Suns,PHX,Phoenix,240:00,123.8,121.5,107.7,111.2,16.1,10.3,0.75,2.06,22.6,0.186,0.82,0.527,15.238,15.0,0.634,0.67,1.0,0.198,107.74,107.0,89.17,107,0.561,1610612744,Warriors,GSW,Golden State,240:00,107.7,111.2,123.8,121.5,-16.1,-10.3,0.714,1.76,20.5,0.18,0.814,0.473,15.387,15.9,0.554,0.598,1.0,0.196,107.74,107.0,89.17,107,0.439,200.0
439,22200220,1610612744,Warriors,GSW,Golden State,240:00,107.7,111.2,123.8,121.5,-16.1,-10.3,0.714,1.76,20.5,0.18,0.814,0.473,15.387,15.9,0.554,0.598,1.0,0.196,107.74,107.0,89.17,107,0.439,1610612756,Suns,PHX,Phoenix,240:00,123.8,121.5,107.7,111.2,16.1,10.3,0.75,2.06,22.6,0.186,0.82,0.527,15.238,15.0,0.634,0.67,1.0,0.198,107.74,107.0,89.17,107,0.561,201.0
440,22200221,1610612757,Trail Blazers,POR,Portland,240:00,100.1,107.0,107.8,109.0,-7.7,-2.0,0.611,2.2,16.1,0.279,0.795,0.48,9.356,10.0,0.457,0.51,1.0,0.198,104.0,100.0,83.33,100,0.432,1610612751,Nets,BKN,Brooklyn,240:00,107.8,109.0,100.1,107.0,7.7,2.0,0.8,1.88,23.2,0.205,0.721,0.52,16.812,17.0,0.576,0.612,1.0,0.2,104.0,100.0,83.33,100,0.568,202.0
441,22200221,1610612751,Nets,BKN,Brooklyn,240:00,107.8,109.0,100.1,107.0,7.7,2.0,0.8,1.88,23.2,0.205,0.721,0.52,16.812,17.0,0.576,0.612,1.0,0.2,104.0,100.0,83.33,100,0.568,1610612757,Trail Blazers,POR,Portland,240:00,100.1,107.0,107.8,109.0,-7.7,-2.0,0.611,2.2,16.1,0.279,0.795,0.48,9.356,10.0,0.457,0.51,1.0,0.198,104.0,100.0,83.33,100,0.432,203.0
442,22200222,1610612759,Spurs,SAS,San Antonio,240:00,110.6,113.1,130.6,131.3,-20.0,-18.2,0.63,1.53,21.1,0.225,0.771,0.48,18.76,19.2,0.613,0.627,1.0,0.196,100.42,99.0,82.5,99,0.421,1610612758,Kings,SAC,Sacramento,240:00,130.6,131.3,110.6,113.1,20.0,18.2,0.583,2.33,21.0,0.229,0.775,0.52,12.053,12.1,0.651,0.695,1.0,0.199,100.42,99.0,82.5,99,0.579,204.0
443,22200222,1610612758,Kings,SAC,Sacramento,240:00,130.6,131.3,110.6,113.1,20.0,18.2,0.583,2.33,21.0,0.229,0.775,0.52,12.053,12.1,0.651,0.695,1.0,0.199,100.42,99.0,82.5,99,0.579,1610612759,Spurs,SAS,San Antonio,240:00,110.6,113.1,130.6,131.3,-20.0,-18.2,0.63,1.53,21.1,0.225,0.771,0.48,18.76,19.2,0.613,0.627,1.0,0.196,100.42,99.0,82.5,99,0.421,205.0
444,22200223,1610612746,Clippers,LAC,LA,240:00,96.4,99.0,89.6,93.8,6.8,5.2,0.515,0.94,13.4,0.3,0.746,0.541,18.08,18.6,0.475,0.524,1.0,0.199,100.56,97.0,80.83,97,0.544,1610612765,Pistons,DET,Detroit,240:00,89.6,93.8,96.4,99.0,-6.8,-5.2,0.455,1.15,11.9,0.254,0.7,0.459,12.8,13.4,0.409,0.462,1.0,0.195,100.56,97.0,80.83,97,0.456,206.0
