,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,PTS_OFF_TOV_A,PTS_2ND_CHANCE_A,PTS_FB_A,PTS_PAINT_A,OPP_PTS_OFF_TOV_A,OPP_PTS_2ND_CHANCE_A,OPP_PTS_FB_A,OPP_PTS_PAINT_A,BLK_A,BLKA_A,PF_A,PFD_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,PTS_OFF_TOV_B,PTS_2ND_CHANCE_B,PTS_FB_B,PTS_PAINT_B,OPP_PTS_OFF_TOV_B,OPP_PTS_2ND_CHANCE_B,OPP_PTS_FB_B,OPP_PTS_PAINT_B,BLK_B,BLKA_B,PF_B,PFD_B,Unnamed: 0.1
1120,22200561,1610612764,Wizards,WAS,Washington,240:00,16.0,13.0,15.0,60.0,16.0,21.0,20.0,66.0,4,6,16,14,1610612749,Bucks,MIL,Milwaukee,240:00,16.0,21.0,20.0,66.0,16.0,13.0,15.0,60.0,6,4,14,16,882.0
1121,22200561,1610612749,Bucks,MIL,Milwaukee,240:00,16.0,21.0,20.0,66.0,16.0,13.0,15.0,60.0,6,4,14,16,1610612764,Wizards,WAS,Washington,240:00,16.0,13.0,15.0,60.0,16.0,21.0,20.0,66.0,4,6,16,14,883.0
1122,22200562,1610612760,Thunder,OKC,Oklahoma City,240:00,27.0,16.0,21.0,70.0,18.0,13.0,9.0,46.0,3,7,23,15,1610612738,Celtics,BOS,Boston,240:00,18.0,13.0,9.0,46.0,27.0,16.0,21.0,70.0,7,3,15,23,884.0
1123,22200562,1610612738,Celtics,BOS,Boston,240:00,18.0,13.0,9.0,46.0,27.0,16.0,21.0,70.0,7,3,15,23,1610612760,Thunder,OKC,Oklahoma City,240:00,27.0,16.0,21.0,70.0,18.0,13.0,9.0,46.0,3,7,23,15,885.0
1124,22200563,1610612762,Jazz,UTA,Utah,240:00,27.0,24.0,7.0,48.0,6.0,10.0,5.0,52.0,3,4,19,26,1610612758,Kings,SAC,Sacramento,240:00,6.0,10.0,5.0,52.0,27.0,24.0,7.0,48.0,4,3,26,19,886.0
1125,22200563,1610612758,Kings,SAC,Sacramento,240:00,6.0,10.0,5.0,52.0,27.0,24.0,7.0,48.0,4,3,26,19,1610612762,Jazz,UTA,Utah,240:00,27.0,24.0,7.0,48.0,6.0,10.0,5.0,52.0,3,4,19,26,887.0
1126,22200564,1610612763,Grizzlies,MEM,Memphis,240:00,14.0,9.0,20.0,64.0,14.0,9.0,23.0,52.0,8,8,16,23,1610612766,Hornets,CHA,Charlotte,240:00,14.0,9.0,23.0,52.0,14.0,9.0,20.0,64.0,8,8,23,16,888.0
1127,22200564,1610612766,Hornets,CHA,Charlotte,240:00,14.0,9.0,23.0,52.0,14.0,9.0,20.0,64.0,8,8,23,16,1610612763,Grizzlies,MEM,Memphis,240:00,14.0,9.0,20.0,64.0,14.0,9.0,23.0,52.0,8,8,16,23,889.0
1128,22200565,1610612756,Suns,PHX,Phoenix,240:00,8.0,9.0,3.0,36.0,12.0,8.0,6.0,38.0,3,4,19,17,1610612739,Cavaliers,CLE,Cleveland,240:00,12.0,8.0,6.0,38.0,8.0,9.0,3.0,36.0,4,3,17,19,890.0
1129,22200565,1610612739,Cavaliers,CLE,Cleveland,240:00,12.0,8.0,6.0,38.0,8.0,9.0,3.0,36.0,4,3,17,19,1610612756,Suns,PHX,Phoenix,240:00,8.0,9.0,3.0,36.0,12.0,8.0,6.0,38.0,3,4,19,17,891.0
