,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,EFG_PCT_A,FTA_RATE_A,TM_TOV_PCT_A,OREB_PCT_A,OPP_EFG_PCT_A,OPP_FTA_RATE_A,OPP_TOV_PCT_A,OPP_OREB_PCT_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,EFG_PCT_B,FTA_RATE_B,TM_TOV_PCT_B,OREB_PCT_B,OPP_EFG_PCT_B,OPP_FTA_RATE_B,OPP_TOV_PCT_B,OPP_OREB_PCT_B
1,0021701219,1610612738,Celtics,BOS,Boston,240:00,0.48,0.147,0.136,0.345,0.467,0.176,0.154,0.228,1610612751,Nets,BKN,Brooklyn,240:00,0.467,0.176,0.154,0.175,0.48,0.147,0.136,0.397
2,0021701219,1610612751,Nets,BKN,Brooklyn,240:00,0.467,0.176,0.154,0.175,0.48,0.147,0.136,0.397,1610612738,Celtics,BOS,Boston,240:00,0.48,0.147,0.136,0.345,0.467,0.176,0.154,0.228
1,0021701220,1610612752,Knicks,NYK,New York,240:00,0.576,0.153,0.153,0.19,0.426,0.298,0.152,0.419,1610612739,Cavaliers,CLE,Cleveland,240:00,0.426,0.298,0.152,0.274,0.576,0.153,0.153,0.262
2,0021701220,1610612739,Cavaliers,CLE,Cleveland,240:00,0.426,0.298,0.152,0.274,0.576,0.153,0.153,0.262,1610612752,Knicks,NYK,New York,240:00,0.576,0.153,0.153,0.19,0.426,0.298,0.152,0.419
1,0021701229,1610612762,Jazz,UTA,Utah,240:00,0.416,0.27,0.149,0.237,0.511,0.18,0.101,0.192,1610612757,Trail Blazers,POR,Portland,240:00,0.511,0.18,0.101,0.135,0.416,0.27,0.149,0.305
2,0021701229,1610612757,Trail Blazers,POR,Portland,240:00,0.511,0.18,0.101,0.135,0.416,0.27,0.149,0.305,1610612762,Jazz,UTA,Utah,240:00,0.416,0.27,0.149,0.237,0.511,0.18,0.101,0.192
1,0021701221,1610612761,Raptors,TOR,Toronto,265:00,0.505,0.228,0.132,0.167,0.486,0.189,0.086,0.349,1610612748,Heat,MIA,Miami,265:00,0.486,0.189,0.086,0.302,0.505,0.228,0.132,0.241
2,0021701221,1610612748,Heat,MIA,Miami,265:00,0.486,0.189,0.086,0.302,0.505,0.228,0.132,0.241,1610612761,Raptors,TOR,Toronto,265:00,0.505,0.228,0.132,0.167,0.486,0.189,0.086,0.349
1,0021701224,1610612765,Pistons,DET,Detroit,240:00,0.612,0.112,0.122,0.167,0.436,0.209,0.188,0.31,1610612741,Bulls,CHI,Chicago,240:00,0.436,0.209,0.188,0.207,0.612,0.112,0.122,0.238
2,0021701224,1610612741,Bulls,CHI,Chicago,240:00,0.436,0.209,0.188,0.207,0.612,0.112,0.122,0.238,1610612765,Pistons,DET,Detroit,240:00,0.612,0.112,0.122,0.167,0.436,0.209,0.188,0.31
1,0021701222,1610612764,Wizards,WAS,Washington,240:00,0.4,0.284,0.119,0.269,0.513,0.351,0.162,0.2,1610612753,Magic,ORL,Orlando,240:00,0.513,0.351,0.162,0.133,0.4,0.284,0.119,0.358
2,0021701222,1610612753,Magic,ORL,Orlando,240:00,0.513,0.351,0.162,0.133,0.4,0.284,0.119,0.358,1610612764,Wizards,WAS,Washington,240:00,0.4,0.284,0.119,0.269,0.513,0.351,0.162,0.2
1,0021701230,1610612758,Kings,SAC,Sacramento,240:00,0.519,0.25,0.117,0.136,0.457,0.146,0.15,0.208,1610612745,Rockets,HOU,Houston,240:00,0.457,0.146,0.15,0.151,0.519,0.25,0.117,0.227
2,0021701230,1610612745,Rockets,HOU,Houston,240:00,0.457,0.146,0.15,0.151,0.519,0.25,0.117,0.227,1610612758,Kings,SAC,Sacramento,240:00,0.519,0.25,0.117,0.136,0.457,0.146,0.15,0.208
1,0021701226,1610612759,Spurs,SAS,San Antonio,240:00,0.446,0.207,0.161,0.211,0.619,0.216,0.182,0.282,1610612740,Pelicans,NOP,New Orleans,240:00,0.619,0.216,0.182,0.282,0.446,0.207,0.161,0.246
2,0021701226,1610612740,Pelicans,NOP,New Orleans,240:00,0.619,0.216,0.182,0.282,0.446,0.207,0.161,0.246,1610612759,Spurs,SAS,San Antonio,240:00,0.446,0.207,0.161,0.211,0.619,0.216,0.182,0.282
1,0021701228,1610612747,Lakers,LAL,Los Angeles,240:00,0.574,0.182,0.167,0.213,0.53,0.337,0.163,0.212,1610612746,Clippers,LAC,LA,240:00,0.53,0.337,0.163,0.154,0.574,0.182,0.167,0.234
2,0021701228,1610612746,Clippers,LAC,LA,240:00,0.53,0.337,0.163,0.154,0.574,0.182,0.167,0.234,1610612747,Lakers,LAL,Los Angeles,240:00,0.574,0.182,0.167,0.213,0.53,0.337,0.163,0.212
1,0021701223,1610612755,76ers,PHI,Philadelphia,240:00,0.567,0.143,0.113,0.304,0.45,0.178,0.187,0.226,1610612749,Bucks,MIL,Milwaukee,240:00,0.45,0.178,0.187,0.189,0.567,0.143,0.113,0.339
2,0021701223,1610612749,Bucks,MIL,Milwaukee,240:00,0.45,0.178,0.187,0.189,0.567,0.143,0.113,0.339,1610612755,76ers,PHI,Philadelphia,240:00,0.567,0.143,0.113,0.304,0.45,0.178,0.187,0.226
1,0021701227,1610612760,Thunder,OKC,Oklahoma City,240:00,0.671,0.376,0.133,0.195,0.555,0.264,0.123,0.229,1610612763,Grizzlies,MEM,Memphis,240:00,0.555,0.264,0.123,0.188,0.671,0.376,0.133,0.22
2,0021701227,1610612763,Grizzlies,MEM,Memphis,240:00,0.555,0.264,0.123,0.188,0.671,0.376,0.133,0.22,1610612760,Thunder,OKC,Oklahoma City,240:00,0.671,0.376,0.133,0.195,0.555,0.264,0.123,0.229
1,0021701225,1610612750,Timberwolves,MIN,Minnesota,265:00,0.522,0.281,0.08,0.16,0.528,0.2,0.146,0.288,1610612743,Nuggets,DEN,Denver,265:00,0.528,0.2,0.146,0.192,0.522,0.281,0.08,0.24
2,0021701225,1610612743,Nuggets,DEN,Denver,265:00,0.528,0.2,0.146,0.192,0.522,0.281,0.08,0.24,1610612750,Timberwolves,MIN,Minnesota,265:00,0.522,0.281,0.08,0.16,0.528,0.2,0.146,0.288
1,0021701213,1610612754,Pacers,IND,Indiana,240:00,0.444,0.081,0.082,0.21,0.556,0.121,0.071,0.259,1610612766,Hornets,CHA,Charlotte,240:00,0.556,0.121,0.071,0.241,0.444,0.081,0.082,0.274
2,0021701213,1610612766,Hornets,CHA,Charlotte,240:00,0.556,0.121,0.071,0.241,0.444,0.081,0.082,0.274,1610612754,Pacers,IND,Indiana,240:00,0.444,0.081,0.082,0.21,0.556,0.121,0.071,0.259
1,0021701218,1610612747,Lakers,LAL,Los Angeles,240:00,0.478,0.167,0.163,0.17,0.511,0.182,0.179,0.216,1610612745,Rockets,HOU,Houston,240:00,0.511,0.182,0.179,0.157,0.478,0.167,0.163,0.208
2,0021701218,1610612745,Rockets,HOU,Houston,240:00,0.511,0.182,0.179,0.157,0.478,0.167,0.163,0.208,1610612747,Lakers,LAL,Los Angeles,240:00,0.478,0.167,0.163,0.17,0.511,0.182,0.179,0.216
1,0021701214,1610612755,76ers,PHI,Philadelphia,240:00,0.592,0.345,0.168,0.224,0.485,0.265,0.09,0.22,1610612737,Hawks,ATL,Atlanta,240:00,0.485,0.265,0.09,0.136,0.592,0.345,0.168,0.306
2,0021701214,1610612737,Hawks,ATL,Atlanta,240:00,0.485,0.265,0.09,0.136,0.592,0.345,0.168,0.306,1610612755,76ers,PHI,Philadelphia,240:00,0.592,0.345,0.168,0.224,0.485,0.265,0.09,0.22
1,0021701216,1610612756,Suns,PHX,Phoenix,240:00,0.717,0.276,0.157,0.161,0.423,0.227,0.083,0.364,1610612742,Mavericks,DAL,Dallas,240:00,0.423,0.227,0.083,0.273,0.717,0.276,0.157,0.258
2,0021701216,1610612742,Mavericks,DAL,Dallas,240:00,0.423,0.227,0.083,0.273,0.717,0.276,0.157,0.258,1610612756,Suns,PHX,Phoenix,240:00,0.717,0.276,0.157,0.161,0.423,0.227,0.083,0.364
1,0021701215,1610612764,Wizards,WAS,Washington,240:00,0.584,0.241,0.196,0.227,0.454,0.31,0.165,0.276,1610612738,Celtics,BOS,Boston,240:00,0.454,0.31,0.165,0.224,0.584,0.241,0.196,0.25
2,0021701215,1610612738,Celtics,BOS,Boston,240:00,0.454,0.31,0.165,0.224,0.584,0.241,0.196,0.25,1610612764,Wizards,WAS,Washington,240:00,0.584,0.241,0.196,0.227,0.454,0.31,0.165,0.276
1,0021701217,1610612762,Jazz,UTA,Utah,240:00,0.606,0.144,0.152,0.267,0.378,0.186,0.16,0.19,1610612744,Warriors,GSW,Golden State,240:00,0.378,0.186,0.16,0.155,0.606,0.144,0.152,0.333
2,0021701217,1610612744,Warriors,GSW,Golden State,240:00,0.378,0.186,0.16,0.155,0.606,0.144,0.152,0.333,1610612762,Jazz,UTA,Utah,240:00,0.606,0.144,0.152,0.267,0.378,0.186,0.16,0.19
1,0021701211,1610612757,Trail Blazers,POR,Portland,240:00,0.367,0.191,0.168,0.269,0.41,0.313,0.124,0.268,1610612743,Nuggets,DEN,Denver,240:00,0.41,0.313,0.124,0.179,0.367,0.191,0.168,0.343
2,0021701211,1610612743,Nuggets,DEN,Denver,240:00,0.41,0.313,0.124,0.179,0.367,0.191,0.168,0.343,1610612757,Trail Blazers,POR,Portland,240:00,0.367,0.191,0.168,0.269,0.41,0.313,0.124,0.268
1,0021701209,1610612750,Timberwolves,MIN,Minnesota,240:00,0.523,0.299,0.183,0.383,0.441,0.247,0.168,0.308,1610612763,Grizzlies,MEM,Memphis,240:00,0.441,0.247,0.168,0.192,0.523,0.299,0.183,0.468
2,0021701209,1610612763,Grizzlies,MEM,Memphis,240:00,0.441,0.247,0.168,0.192,0.523,0.299,0.183,0.468,1610612750,Timberwolves,MIN,Minnesota,240:00,0.523,0.299,0.183,0.383,0.441,0.247,0.168,0.308
1,0021701210,1610612759,Spurs,SAS,San Antonio,240:00,0.451,0.354,0.087,0.216,0.457,0.21,0.136,0.314,1610612758,Kings,SAC,Sacramento,240:00,0.457,0.21,0.136,0.235,0.451,0.354,0.087,0.294
2,0021701210,1610612758,Kings,SAC,Sacramento,240:00,0.457,0.21,0.136,0.235,0.451,0.354,0.087,0.294,1610612759,Spurs,SAS,San Antonio,240:00,0.451,0.354,0.087,0.216,0.457,0.21,0.136,0.314
1,0021701204,1610612761,Raptors,TOR,Toronto,240:00,0.598,0.046,0.11,0.195,0.506,0.321,0.066,0.128,1610612765,Pistons,DET,Detroit,240:00,0.506,0.321,0.066,0.085,0.598,0.046,0.11,0.268
2,0021701204,1610612765,Pistons,DET,Detroit,240:00,0.506,0.321,0.066,0.085,0.598,0.046,0.11,0.268,1610612761,Raptors,TOR,Toronto,240:00,0.598,0.046,0.11,0.195,0.506,0.321,0.066,0.128
1,0021701206,1610612760,Thunder,OKC,Oklahoma City,240:00,0.519,0.469,0.099,0.137,0.489,0.161,0.15,0.22,1610612748,Heat,MIA,Miami,240:00,0.489,0.161,0.15,0.16,0.519,0.469,0.099,0.216
2,0021701206,1610612748,Heat,MIA,Miami,240:00,0.489,0.161,0.15,0.16,0.519,0.469,0.099,0.216,1610612760,Thunder,OKC,Oklahoma City,240:00,0.519,0.469,0.099,0.137,0.489,0.161,0.15,0.22
1,0021701212,1610612740,Pelicans,NOP,New Orleans,240:00,0.521,0.211,0.078,0.164,0.469,0.194,0.152,0.339,1610612746,Clippers,LAC,LA,240:00,0.469,0.194,0.152,0.274,0.521,0.211,0.078,0.182
2,0021701212,1610612746,Clippers,LAC,LA,240:00,0.469,0.194,0.152,0.274,0.521,0.211,0.078,0.182,1610612740,Pelicans,NOP,New Orleans,240:00,0.521,0.211,0.078,0.164,0.469,0.194,0.152,0.339
1,0021701207,1610612752,Knicks,NYK,New York,240:00,0.592,0.138,0.142,0.182,0.582,0.329,0.109,0.311,1610612739,Cavaliers,CLE,Cleveland,240:00,0.582,0.329,0.109,0.156,0.592,0.138,0.142,0.205
2,0021701207,1610612739,Cavaliers,CLE,Cleveland,240:00,0.582,0.329,0.109,0.156,0.592,0.138,0.142,0.205,1610612752,Knicks,NYK,New York,240:00,0.592,0.138,0.142,0.182,0.582,0.329,0.109,0.311
1,0021701208,1610612753,Magic,ORL,Orlando,240:00,0.445,0.244,0.189,0.094,0.478,0.198,0.164,0.245,1610612749,Bucks,MIL,Milwaukee,240:00,0.478,0.198,0.164,0.226,0.445,0.244,0.189,0.17
2,0021701208,1610612749,Bucks,MIL,Milwaukee,240:00,0.478,0.198,0.164,0.226,0.445,0.244,0.189,0.17,1610612753,Magic,ORL,Orlando,240:00,0.445,0.244,0.189,0.094,0.478,0.198,0.164,0.245
1,0021701205,1610612741,Bulls,CHI,Chicago,240:00,0.551,0.135,0.184,0.204,0.61,0.183,0.179,0.167,1610612751,Nets,BKN,Brooklyn,240:00,0.61,0.183,0.179,0.143,0.551,0.135,0.184,0.286
2,0021701205,1610612751,Nets,BKN,Brooklyn,240:00,0.61,0.183,0.179,0.143,0.551,0.135,0.184,0.286,1610612741,Bulls,CHI,Chicago,240:00,0.551,0.135,0.184,0.204,0.61,0.183,0.179,0.167
1,0021701200,1610612761,Raptors,TOR,Toronto,240:00,0.609,0.308,0.171,0.136,0.511,0.191,0.108,0.196,1610612753,Magic,ORL,Orlando,240:00,0.511,0.191,0.108,0.118,0.609,0.308,0.171,0.182
2,0021701200,1610612753,Magic,ORL,Orlando,240:00,0.511,0.191,0.108,0.118,0.609,0.308,0.171,0.182,1610612761,Raptors,TOR,Toronto,240:00,0.609,0.308,0.171,0.136,0.511,0.191,0.108,0.196
1,0021701202,1610612738,Celtics,BOS,Boston,240:00,0.567,0.244,0.129,0.227,0.587,0.163,0.13,0.289,1610612737,Hawks,ATL,Atlanta,240:00,0.587,0.163,0.13,0.111,0.567,0.244,0.129,0.25
2,0021701202,1610612737,Hawks,ATL,Atlanta,240:00,0.587,0.163,0.13,0.111,0.567,0.244,0.129,0.25,1610612738,Celtics,BOS,Boston,240:00,0.567,0.244,0.129,0.227,0.587,0.163,0.13,0.289
1,0021701203,1610612756,Suns,PHX,Phoenix,240:00,0.478,0.174,0.141,0.145,0.594,0.167,0.107,0.152,1610612744,Warriors,GSW,Golden State,240:00,0.594,0.167,0.107,0.109,0.478,0.174,0.141,0.236
2,0021701203,1610612744,Warriors,GSW,Golden State,240:00,0.594,0.167,0.107,0.109,0.478,0.174,0.141,0.236,1610612756,Suns,PHX,Phoenix,240:00,0.478,0.174,0.141,0.145,0.594,0.167,0.107,0.152
1,0021701198,1610612755,76ers,PHI,Philadelphia,240:00,0.549,0.154,0.111,0.191,0.484,0.138,0.118,0.224,1610612742,Mavericks,DAL,Dallas,240:00,0.484,0.138,0.118,0.172,0.549,0.154,0.111,0.234
2,0021701198,1610612742,Mavericks,DAL,Dallas,240:00,0.484,0.138,0.118,0.172,0.549,0.154,0.111,0.234,1610612755,76ers,PHI,Philadelphia,240:00,0.549,0.154,0.111,0.191,0.484,0.138,0.118,0.224
1,0021701197,1610612754,Pacers,IND,Indiana,240:00,0.586,0.194,0.138,0.156,0.569,0.375,0.192,0.143,1610612766,Hornets,CHA,Charlotte,240:00,0.569,0.375,0.192,0.119,0.586,0.194,0.138,0.178
2,0021701197,1610612766,Hornets,CHA,Charlotte,240:00,0.569,0.375,0.192,0.119,0.586,0.194,0.138,0.178,1610612754,Pacers,IND,Indiana,240:00,0.586,0.194,0.138,0.156,0.569,0.375,0.192,0.143
1,0021701199,1610612763,Grizzlies,MEM,Memphis,240:00,0.675,0.289,0.141,0.2,0.532,0.247,0.127,0.333,1610612765,Pistons,DET,Detroit,240:00,0.532,0.247,0.127,0.246,0.675,0.289,0.141,0.3
2,0021701199,1610612765,Pistons,DET,Detroit,240:00,0.532,0.247,0.127,0.246,0.675,0.289,0.141,0.3,1610612763,Grizzlies,MEM,Memphis,240:00,0.675,0.289,0.141,0.2,0.532,0.247,0.127,0.333
1,0021701201,1610612762,Jazz,UTA,Utah,240:00,0.584,0.265,0.174,0.156,0.425,0.237,0.134,0.293,1610612747,Lakers,LAL,Los Angeles,240:00,0.425,0.237,0.134,0.207,0.584,0.265,0.174,0.244
2,0021701201,1610612747,Lakers,LAL,Los Angeles,240:00,0.425,0.237,0.134,0.207,0.584,0.265,0.174,0.244,1610612762,Jazz,UTA,Utah,240:00,0.584,0.265,0.174,0.156,0.425,0.237,0.134,0.293
1,0021701194,1610612760,Thunder,OKC,Oklahoma City,240:00,0.451,0.363,0.108,0.268,0.566,0.303,0.183,0.262,1610612745,Rockets,HOU,Houston,240:00,0.566,0.303,0.183,0.143,0.451,0.363,0.108,0.357
2,0021701194,1610612745,Rockets,HOU,Houston,240:00,0.566,0.303,0.183,0.143,0.451,0.363,0.108,0.357,1610612760,Thunder,OKC,Oklahoma City,240:00,0.451,0.363,0.108,0.268,0.566,0.303,0.183,0.262
1,0021701196,1610612759,Spurs,SAS,San Antonio,240:00,0.601,0.25,0.082,0.1,0.54,0.125,0.137,0.261,1610612757,Trail Blazers,POR,Portland,240:00,0.54,0.125,0.137,0.239,0.601,0.25,0.082,0.2
2,0021701196,1610612757,Trail Blazers,POR,Portland,240:00,0.54,0.125,0.137,0.239,0.601,0.25,0.082,0.2,1610612759,Spurs,SAS,San Antonio,240:00,0.601,0.25,0.082,0.1,0.54,0.125,0.137,0.261
1,0021701195,1610612740,Pelicans,NOP,New Orleans,240:00,0.626,0.253,0.079,0.098,0.628,0.122,0.164,0.233,1610612744,Warriors,GSW,Golden State,240:00,0.628,0.122,0.164,0.186,0.626,0.253,0.079,0.122
2,0021701195,1610612744,Warriors,GSW,Golden State,240:00,0.628,0.122,0.164,0.186,0.626,0.253,0.079,0.122,1610612740,Pelicans,NOP,New Orleans,240:00,0.626,0.253,0.079,0.098,0.628,0.122,0.164,0.233
1,0021701191,1610612746,Clippers,LAC,LA,240:00,0.529,0.391,0.112,0.294,0.694,0.271,0.083,0.257,1610612743,Nuggets,DEN,Denver,240:00,0.694,0.271,0.083,0.2,0.529,0.391,0.112,0.412
2,0021701191,1610612743,Nuggets,DEN,Denver,240:00,0.694,0.271,0.083,0.2,0.529,0.391,0.112,0.412,1610612746,Clippers,LAC,LA,240:00,0.529,0.391,0.112,0.294,0.694,0.271,0.083,0.257
1,0021701192,1610612752,Knicks,NYK,New York,240:00,0.479,0.116,0.112,0.241,0.538,0.183,0.102,0.32,1610612749,Bucks,MIL,Milwaukee,240:00,0.538,0.183,0.102,0.24,0.479,0.116,0.112,0.296
2,0021701192,1610612749,Bucks,MIL,Milwaukee,240:00,0.538,0.183,0.102,0.24,0.479,0.116,0.112,0.296,1610612752,Knicks,NYK,New York,240:00,0.479,0.116,0.112,0.241,0.538,0.183,0.102,0.32
1,0021701193,1610612741,Bulls,CHI,Chicago,240:00,0.443,0.239,0.122,0.077,0.63,0.12,0.14,0.188,1610612751,Nets,BKN,Brooklyn,240:00,0.63,0.12,0.14,0.104,0.443,0.239,0.122,0.154
2,0021701193,1610612751,Nets,BKN,Brooklyn,240:00,0.63,0.12,0.14,0.104,0.443,0.239,0.122,0.154,1610612741,Bulls,CHI,Chicago,240:00,0.443,0.239,0.122,0.077,0.63,0.12,0.14,0.188
1,0021701190,1610612750,Timberwolves,MIN,Minnesota,240:00,0.47,0.26,0.051,0.295,0.443,0.405,0.208,0.38,1610612747,Lakers,LAL,Los Angeles,240:00,0.443,0.405,0.208,0.26,0.47,0.26,0.051,0.344
2,0021701190,1610612747,Lakers,LAL,Los Angeles,240:00,0.443,0.405,0.208,0.26,0.47,0.26,0.051,0.344,1610612750,Timberwolves,MIN,Minnesota,240:00,0.47,0.26,0.051,0.295,0.443,0.405,0.208,0.38
1,0021701184,1610612764,Wizards,WAS,Washington,240:00,0.454,0.264,0.12,0.167,0.551,0.291,0.18,0.182,1610612737,Hawks,ATL,Atlanta,240:00,0.551,0.291,0.18,0.159,0.454,0.264,0.12,0.185
2,0021701184,1610612737,Hawks,ATL,Atlanta,240:00,0.551,0.291,0.18,0.159,0.454,0.264,0.12,0.185,1610612764,Wizards,WAS,Washington,240:00,0.454,0.264,0.12,0.167,0.551,0.291,0.18,0.182
1,0021701186,1610612752,Knicks,NYK,New York,240:00,0.607,0.236,0.119,0.188,0.438,0.25,0.117,0.208,1610612748,Heat,MIA,Miami,240:00,0.438,0.25,0.117,0.132,0.607,0.236,0.119,0.25
2,0021701186,1610612748,Heat,MIA,Miami,240:00,0.438,0.25,0.117,0.132,0.607,0.236,0.119,0.25,1610612752,Knicks,NYK,New York,240:00,0.607,0.236,0.119,0.188,0.438,0.25,0.117,0.208
1,0021701187,1610612761,Raptors,TOR,Toronto,240:00,0.482,0.19,0.219,0.173,0.339,0.23,0.134,0.238,1610612754,Pacers,IND,Indiana,240:00,0.339,0.23,0.134,0.19,0.482,0.19,0.219,0.385
2,0021701187,1610612754,Pacers,IND,Indiana,240:00,0.339,0.23,0.134,0.19,0.482,0.19,0.219,0.385,1610612761,Raptors,TOR,Toronto,240:00,0.482,0.19,0.219,0.173,0.339,0.23,0.134,0.238
1,0021701188,1610612758,Kings,SAC,Sacramento,240:00,0.506,0.141,0.166,0.217,0.476,0.214,0.158,0.32,1610612763,Grizzlies,MEM,Memphis,240:00,0.476,0.214,0.158,0.24,0.506,0.141,0.166,0.37
2,0021701188,1610612763,Grizzlies,MEM,Memphis,240:00,0.476,0.214,0.158,0.24,0.506,0.141,0.166,0.37,1610612758,Kings,SAC,Sacramento,240:00,0.506,0.141,0.166,0.217,0.476,0.214,0.158,0.32
1,0021701181,1610612765,Pistons,DET,Detroit,265:00,0.565,0.185,0.105,0.12,0.505,0.196,0.118,0.2,1610612742,Mavericks,DAL,Dallas,265:00,0.505,0.196,0.118,0.182,0.565,0.185,0.105,0.22
2,0021701181,1610612742,Mavericks,DAL,Dallas,265:00,0.505,0.196,0.118,0.182,0.565,0.185,0.105,0.22,1610612765,Pistons,DET,Detroit,265:00,0.565,0.185,0.105,0.12,0.505,0.196,0.118,0.2
1,0021701185,1610612741,Bulls,CHI,Chicago,240:00,0.547,0.198,0.168,0.176,0.642,0.21,0.179,0.146,1610612738,Celtics,BOS,Boston,240:00,0.642,0.21,0.179,0.146,0.547,0.198,0.168,0.176
2,0021701185,1610612738,Celtics,BOS,Boston,240:00,0.642,0.21,0.179,0.146,0.547,0.198,0.168,0.176,1610612741,Bulls,CHI,Chicago,240:00,0.547,0.198,0.168,0.176,0.642,0.21,0.179,0.146
1,0021701182,1610612753,Magic,ORL,Orlando,240:00,0.495,0.138,0.093,0.218,0.657,0.302,0.102,0.308,1610612766,Hornets,CHA,Charlotte,240:00,0.657,0.302,0.102,0.231,0.495,0.138,0.093,0.236
2,0021701182,1610612766,Hornets,CHA,Charlotte,240:00,0.657,0.302,0.102,0.231,0.495,0.138,0.093,0.236,1610612753,Magic,ORL,Orlando,240:00,0.495,0.138,0.093,0.218,0.657,0.302,0.102,0.308
1,0021701189,1610612756,Suns,PHX,Phoenix,240:00,0.441,0.277,0.13,0.197,0.535,0.202,0.137,0.333,1610612740,Pelicans,NOP,New Orleans,240:00,0.535,0.202,0.137,0.228,0.441,0.277,0.13,0.262
2,0021701189,1610612740,Pelicans,NOP,New Orleans,240:00,0.535,0.202,0.137,0.228,0.441,0.277,0.13,0.262,1610612756,Suns,PHX,Phoenix,240:00,0.441,0.277,0.13,0.197,0.535,0.202,0.137,0.333
1,0021701183,1610612755,76ers,PHI,Philadelphia,240:00,0.564,0.208,0.108,0.208,0.609,0.379,0.138,0.255,1610612739,Cavaliers,CLE,Cleveland,240:00,0.609,0.379,0.138,0.17,0.564,0.208,0.108,0.321
2,0021701183,1610612739,Cavaliers,CLE,Cleveland,240:00,0.609,0.379,0.138,0.17,0.564,0.208,0.108,0.321,1610612755,76ers,PHI,Philadelphia,240:00,0.564,0.208,0.108,0.208,0.609,0.379,0.138,0.255
1,0021701177,1610612757,Trail Blazers,POR,Portland,240:00,0.5,0.165,0.185,0.25,0.555,0.329,0.18,0.163,1610612745,Rockets,HOU,Houston,240:00,0.555,0.329,0.18,0.14,0.5,0.165,0.185,0.313
2,0021701177,1610612745,Rockets,HOU,Houston,240:00,0.555,0.329,0.18,0.14,0.5,0.165,0.185,0.313,1610612757,Trail Blazers,POR,Portland,240:00,0.5,0.165,0.185,0.25,0.555,0.329,0.18,0.163
1,0021701176,1610612764,Wizards,WAS,Washington,240:00,0.548,0.149,0.145,0.25,0.63,0.364,0.159,0.167,1610612739,Cavaliers,CLE,Cleveland,240:00,0.63,0.364,0.159,0.139,0.548,0.149,0.145,0.333
2,0021701176,1610612739,Cavaliers,CLE,Cleveland,240:00,0.63,0.364,0.159,0.139,0.548,0.149,0.145,0.333,1610612764,Wizards,WAS,Washington,240:00,0.548,0.149,0.145,0.25,0.63,0.364,0.159,0.167
1,0021701175,1610612754,Pacers,IND,Indiana,240:00,0.618,0.161,0.131,0.295,0.5,0.289,0.166,0.277,1610612744,Warriors,GSW,Golden State,240:00,0.5,0.289,0.166,0.277,0.618,0.161,0.131,0.364
2,0021701175,1610612744,Warriors,GSW,Golden State,240:00,0.5,0.289,0.166,0.277,0.618,0.161,0.131,0.364,1610612754,Pacers,IND,Indiana,240:00,0.618,0.161,0.131,0.295,0.5,0.289,0.166,0.277
1,0021701178,1610612749,Bucks,MIL,Milwaukee,240:00,0.468,0.323,0.078,0.218,0.673,0.28,0.2,0.194,1610612751,Nets,BKN,Brooklyn,240:00,0.673,0.28,0.2,0.111,0.468,0.323,0.078,0.291
2,0021701178,1610612751,Nets,BKN,Brooklyn,240:00,0.673,0.28,0.2,0.111,0.468,0.323,0.078,0.291,1610612749,Bucks,MIL,Milwaukee,240:00,0.468,0.323,0.078,0.218,0.673,0.28,0.2,0.194
1,0021701180,1610612750,Timberwolves,MIN,Minnesota,240:00,0.462,0.176,0.085,0.214,0.455,0.247,0.114,0.339,1610612743,Nuggets,DEN,Denver,240:00,0.455,0.247,0.114,0.232,0.462,0.176,0.085,0.304
2,0021701180,1610612743,Nuggets,DEN,Denver,240:00,0.455,0.247,0.114,0.232,0.462,0.176,0.085,0.304,1610612750,Timberwolves,MIN,Minnesota,240:00,0.462,0.176,0.085,0.214,0.455,0.247,0.114,0.339
1,0021701179,1610612762,Jazz,UTA,Utah,240:00,0.59,0.337,0.114,0.233,0.462,0.354,0.166,0.37,1610612746,Clippers,LAC,LA,240:00,0.462,0.354,0.166,0.239,0.59,0.337,0.114,0.326
2,0021701179,1610612746,Clippers,LAC,LA,240:00,0.462,0.354,0.166,0.239,0.59,0.337,0.114,0.326,1610612762,Jazz,UTA,Utah,240:00,0.59,0.337,0.114,0.233,0.462,0.354,0.166,0.37
1,0021701169,1610612755,76ers,PHI,Philadelphia,240:00,0.567,0.213,0.126,0.149,0.534,0.261,0.168,0.278,1610612765,Pistons,DET,Detroit,240:00,0.534,0.261,0.168,0.167,0.567,0.213,0.126,0.255
2,0021701169,1610612765,Pistons,DET,Detroit,240:00,0.534,0.261,0.168,0.167,0.567,0.213,0.126,0.255,1610612755,76ers,PHI,Philadelphia,240:00,0.567,0.213,0.126,0.149,0.534,0.261,0.168,0.278
1,0021701174,1610612759,Spurs,SAS,San Antonio,265:00,0.479,0.278,0.096,0.25,0.622,0.209,0.135,0.195,1610612747,Lakers,LAL,Los Angeles,265:00,0.622,0.209,0.135,0.098,0.479,0.278,0.096,0.283
2,0021701174,1610612747,Lakers,LAL,Los Angeles,265:00,0.622,0.209,0.135,0.098,0.479,0.278,0.096,0.283,1610612759,Spurs,SAS,San Antonio,265:00,0.479,0.278,0.096,0.25,0.622,0.209,0.135,0.195
