,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,EFG_PCT_A,FTA_RATE_A,TM_TOV_PCT_A,OREB_PCT_A,OPP_EFG_PCT_A,OPP_FTA_RATE_A,OPP_TOV_PCT_A,OPP_OREB_PCT_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,EFG_PCT_B,FTA_RATE_B,TM_TOV_PCT_B,OREB_PCT_B,OPP_EFG_PCT_B,OPP_FTA_RATE_B,OPP_TOV_PCT_B,OPP_OREB_PCT_B
1,0021701005,1610612755,76ers,PHI,Philadelphia,240:00,0.533,0.293,0.213,0.167,0.426,0.263,0.098,0.288,1610612754,Pacers,IND,Indiana,240:00,0.426,0.263,0.098,0.237,0.533,0.293,0.213,0.214
2,0021701005,1610612754,Pacers,IND,Indiana,240:00,0.426,0.263,0.098,0.237,0.533,0.293,0.213,0.214,1610612755,76ers,PHI,Philadelphia,240:00,0.533,0.293,0.213,0.167,0.426,0.263,0.098,0.288
1,0021701007,1610612760,Thunder,OKC,Oklahoma City,240:00,0.562,0.281,0.081,0.184,0.5,0.276,0.151,0.385,1610612737,Hawks,ATL,Atlanta,240:00,0.5,0.276,0.151,0.25,0.562,0.281,0.081,0.286
2,0021701007,1610612737,Hawks,ATL,Atlanta,240:00,0.5,0.276,0.151,0.25,0.562,0.281,0.081,0.286,1610612760,Thunder,OKC,Oklahoma City,240:00,0.562,0.281,0.081,0.184,0.5,0.276,0.151,0.385
1,0021701010,1610612746,Clippers,LAC,LA,240:00,0.539,0.539,0.137,0.136,0.46,0.149,0.085,0.339,1610612741,Bulls,CHI,Chicago,240:00,0.46,0.149,0.085,0.186,0.539,0.539,0.137,0.205
2,0021701010,1610612741,Bulls,CHI,Chicago,240:00,0.46,0.149,0.085,0.186,0.539,0.539,0.137,0.205,1610612746,Clippers,LAC,LA,240:00,0.539,0.539,0.137,0.136,0.46,0.149,0.085,0.339
1,0021701013,1610612762,Jazz,UTA,Utah,240:00,0.638,0.303,0.242,0.282,0.406,0.238,0.183,0.226,1610612765,Pistons,DET,Detroit,240:00,0.406,0.238,0.183,0.151,0.638,0.303,0.242,0.359
2,0021701013,1610612765,Pistons,DET,Detroit,240:00,0.406,0.238,0.183,0.151,0.638,0.303,0.242,0.359,1610612762,Jazz,UTA,Utah,240:00,0.638,0.303,0.242,0.282,0.406,0.238,0.183,0.226
1,0021701014,1610612756,Suns,PHX,Phoenix,240:00,0.418,0.306,0.152,0.177,0.592,0.345,0.174,0.174,1610612739,Cavaliers,CLE,Cleveland,240:00,0.592,0.345,0.174,0.109,0.418,0.306,0.152,0.355
2,0021701014,1610612739,Cavaliers,CLE,Cleveland,240:00,0.592,0.345,0.174,0.109,0.418,0.306,0.152,0.355,1610612756,Suns,PHX,Phoenix,240:00,0.418,0.306,0.152,0.177,0.592,0.345,0.174,0.174
1,0021701003,1610612758,Kings,SAC,Sacramento,240:00,0.473,0.172,0.112,0.228,0.548,0.214,0.112,0.204,1610612760,Thunder,OKC,Oklahoma City,240:00,0.548,0.214,0.112,0.102,0.473,0.172,0.112,0.298
2,0021701003,1610612760,Thunder,OKC,Oklahoma City,240:00,0.548,0.214,0.112,0.102,0.473,0.172,0.112,0.298,1610612758,Kings,SAC,Sacramento,240:00,0.473,0.172,0.112,0.228,0.548,0.214,0.112,0.204
1,0021701002,1610612749,Bucks,MIL,Milwaukee,240:00,0.654,0.272,0.193,0.297,0.522,0.213,0.093,0.231,1610612763,Grizzlies,MEM,Memphis,240:00,0.522,0.213,0.093,0.192,0.654,0.272,0.193,0.351
2,0021701002,1610612763,Grizzlies,MEM,Memphis,240:00,0.522,0.213,0.093,0.192,0.654,0.272,0.193,0.351,1610612749,Bucks,MIL,Milwaukee,240:00,0.654,0.272,0.193,0.297,0.522,0.213,0.093,0.231
1,0021701004,1610612757,Trail Blazers,POR,Portland,240:00,0.542,0.361,0.13,0.188,0.484,0.176,0.111,0.222,1610612748,Heat,MIA,Miami,240:00,0.484,0.176,0.111,0.185,0.542,0.361,0.13,0.25
2,0021701004,1610612748,Heat,MIA,Miami,240:00,0.484,0.176,0.111,0.185,0.542,0.361,0.13,0.25,1610612757,Trail Blazers,POR,Portland,240:00,0.542,0.361,0.13,0.188,0.484,0.176,0.111,0.222
1,0021701001,1610612759,Spurs,SAS,San Antonio,240:00,0.475,0.284,0.134,0.135,0.569,0.288,0.173,0.289,1610612745,Rockets,HOU,Houston,240:00,0.569,0.288,0.173,0.2,0.475,0.284,0.134,0.173
2,0021701001,1610612745,Rockets,HOU,Houston,240:00,0.569,0.288,0.173,0.2,0.475,0.284,0.134,0.173,1610612759,Spurs,SAS,San Antonio,240:00,0.475,0.284,0.134,0.135,0.569,0.288,0.173,0.289
1,0021700994,1610612750,Timberwolves,MIN,Minnesota,240:00,0.495,0.221,0.099,0.241,0.462,0.231,0.128,0.304,1610612744,Warriors,GSW,Golden State,240:00,0.462,0.231,0.128,0.214,0.495,0.221,0.099,0.278
2,0021700994,1610612744,Warriors,GSW,Golden State,240:00,0.462,0.231,0.128,0.214,0.495,0.221,0.099,0.278,1610612750,Timberwolves,MIN,Minnesota,240:00,0.495,0.221,0.099,0.241,0.462,0.231,0.128,0.304
1,0021700996,1610612758,Kings,SAC,Sacramento,240:00,0.462,0.286,0.03,0.127,0.646,0.236,0.081,0.209,1610612743,Nuggets,DEN,Denver,240:00,0.646,0.236,0.081,0.186,0.462,0.286,0.03,0.182
