,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,PTS_OFF_TOV_A,PTS_2ND_CHANCE_A,PTS_FB_A,PTS_PAINT_A,OPP_PTS_OFF_TOV_A,OPP_PTS_2ND_CHANCE_A,OPP_PTS_FB_A,OPP_PTS_PAINT_A,BLK_A,BLKA_A,PF_A,PFD_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,PTS_OFF_TOV_B,PTS_2ND_CHANCE_B,PTS_FB_B,PTS_PAINT_B,OPP_PTS_OFF_TOV_B,OPP_PTS_2ND_CHANCE_B,OPP_PTS_FB_B,OPP_PTS_PAINT_B,BLK_B,BLKA_B,PF_B,PFD_B
2,0021900006,1610612751,Nets,BKN,Brooklyn,265:00,14.0,8.0,20.0,60.0,15.0,14.0,8.0,60.0,9,4,30,22,1610612750,Timberwolves,MIN,Minnesota,265:00,15.0,14.0,8.0,60.0,14.0,8.0,20.0,60.0,4,9,22,30
1,0021900007,1610612748,Heat,MIA,Miami,240:00,24.0,16.0,12.0,60.0,24.0,15.0,20.0,56.0,8,7,33,31,1610612763,Grizzlies,MEM,Memphis,240:00,24.0,15.0,20.0,56.0,24.0,16.0,12.0,60.0,7,8,31,33
2,0021900007,1610612763,Grizzlies,MEM,Memphis,240:00,24.0,15.0,20.0,56.0,24.0,16.0,12.0,60.0,7,8,31,33,1610612748,Heat,MIA,Miami,240:00,24.0,16.0,12.0,60.0,24.0,15.0,20.0,56.0,8,7,33,31
1,0021900008,1610612755,76ers,PHI,Philadelphia,240:00,11.0,17.0,14.0,58.0,20.0,16.0,8.0,44.0,7,2,34,29,1610612738,Celtics,BOS,Boston,240:00,20.0,16.0,8.0,44.0,11.0,17.0,14.0,58.0,2,7,29,34
2,0021900008,1610612738,Celtics,BOS,Boston,240:00,20.0,16.0,8.0,44.0,11.0,17.0,14.0,58.0,2,7,29,34,1610612755,76ers,PHI,Philadelphia,240:00,11.0,17.0,14.0,58.0,20.0,16.0,8.0,44.0,7,2,34,29
1,0021900009,1610612764,Wizards,WAS,Washington,240:00,17.0,19.0,20.0,44.0,18.0,12.0,14.0,36.0,3,5,32,22,1610612742,Mavericks,DAL,Dallas,240:00,18.0,12.0,14.0,36.0,17.0,19.0,20.0,44.0,5,3,22,32
2,0021900009,1610612742,Mavericks,DAL,Dallas,240:00,18.0,12.0,14.0,36.0,17.0,19.0,20.0,44.0,5,3,22,32,1610612764,Wizards,WAS,Washington,240:00,17.0,19.0,20.0,44.0,18.0,12.0,14.0,36.0,3,5,32,22
1,0021900010,1610612759,Spurs,SAS,San Antonio,240:00,16.0,15.0,30.0,54.0,32.0,6.0,29.0,58.0,5,1,18,32,1610612752,Knicks,NYK,New York,240:00,32.0,6.0,29.0,58.0,16.0,15.0,30.0,54.0,1,5,32,18
2,0021900010,1610612752,Knicks,NYK,New York,240:00,32.0,6.0,29.0,58.0,16.0,15.0,30.0,54.0,1,5,32,18,1610612759,Spurs,SAS,San Antonio,240:00,16.0,15.0,30.0,54.0,32.0,6.0,29.0,58.0,5,1,18,32
1,0021900011,1610612762,Jazz,UTA,Utah,240:00,10.0,8.0,18.0,58.0,8.0,11.0,7.0,34.0,5,4,31,23,1610612760,Thunder,OKC,Oklahoma City,240:00,8.0,11.0,7.0,34.0,10.0,8.0,18.0,58.0,4,5,23,31
2,0021900011,1610612760,Thunder,OKC,Oklahoma City,240:00,8.0,11.0,7.0,34.0,10.0,8.0,18.0,58.0,4,5,23,31,1610612762,Jazz,UTA,Utah,240:00,10.0,8.0,18.0,58.0,8.0,11.0,7.0,34.0,5,4,31,23
1,0021900012,1610612758,Kings,SAC,Sacramento,240:00,6.0,15.0,11.0,34.0,35.0,18.0,27.0,68.0,5,9,24,25,1610612756,Suns,PHX,Phoenix,240:00,35.0,18.0,27.0,68.0,6.0,15.0,11.0,34.0,9,5,25,24
2,0021900012,1610612756,Suns,PHX,Phoenix,240:00,35.0,18.0,27.0,68.0,6.0,15.0,11.0,34.0,9,5,25,24,1610612758,Kings,SAC,Sacramento,240:00,6.0,15.0,11.0,34.0,35.0,18.0,27.0,68.0,5,9,24,25
1,0021900013,1610612757,Trail Blazers,POR,Portland,240:00,18.0,23.0,12.0,54.0,12.0,7.0,10.0,22.0,4,4,25,23,1610612743,Nuggets,DEN,Denver,240:00,12.0,7.0,10.0,22.0,18.0,23.0,12.0,54.0,4,4,23,25
2,0021900013,1610612743,Nuggets,DEN,Denver,240:00,12.0,7.0,10.0,22.0,18.0,23.0,12.0,54.0,4,4,23,25,1610612757,Trail Blazers,POR,Portland,240:00,18.0,23.0,12.0,54.0,12.0,7.0,10.0,22.0,4,4,25,23
1,0021900014,1610612765,Pistons,DET,Detroit,240:00,13.0,10.0,4.0,36.0,20.0,10.0,18.0,60.0,5,2,20,15,1610612737,Hawks,ATL,Atlanta,240:00,20.0,10.0,18.0,60.0,13.0,10.0,4.0,36.0,2,5,15,20
2,0021900014,1610612737,Hawks,ATL,Atlanta,240:00,20.0,10.0,18.0,60.0,13.0,10.0,4.0,36.0,2,5,15,20,1610612765,Pistons,DET,Detroit,240:00,13.0,10.0,4.0,36.0,20.0,10.0,18.0,60.0,5,2,20,15
1,0021900015,1610612749,Bucks,MIL,Milwaukee,240:00,21.0,11.0,17.0,46.0,10.0,13.0,27.0,34.0,10,6,27,25,1610612745,Rockets,HOU,Houston,240:00,10.0,13.0,27.0,34.0,21.0,11.0,17.0,46.0,6,10,25,27
2,0021900015,1610612745,Rockets,HOU,Houston,240:00,10.0,13.0,27.0,34.0,21.0,11.0,17.0,46.0,6,10,25,27,1610612749,Bucks,MIL,Milwaukee,240:00,21.0,11.0,17.0,46.0,10.0,13.0,27.0,34.0,10,6,27,25
1,0021900016,1610612746,Clippers,LAC,LA,240:00,14.0,6.0,19.0,58.0,20.0,13.0,25.0,40.0,5,0,24,21,1610612744,Warriors,GSW,Golden State,240:00,20.0,13.0,25.0,40.0,14.0,6.0,19.0,58.0,0,5,21,24
2,0021900016,1610612744,Warriors,GSW,Golden State,240:00,20.0,13.0,25.0,40.0,14.0,6.0,19.0,58.0,0,5,21,24,1610612746,Clippers,LAC,LA,240:00,14.0,6.0,19.0,58.0,20.0,13.0,25.0,40.0,5,0,24,21
1,0021900017,1610612761,Raptors,TOR,Toronto,240:00,8.0,2.0,11.0,36.0,26.0,21.0,11.0,54.0,6,8,28,20,1610612738,Celtics,BOS,Boston,240:00,26.0,21.0,11.0,54.0,8.0,2.0,11.0,36.0,8,6,20,28
2,0021900017,1610612738,Celtics,BOS,Boston,240:00,26.0,21.0,11.0,54.0,8.0,2.0,11.0,36.0,8,6,20,28,1610612761,Raptors,TOR,Toronto,240:00,8.0,2.0,11.0,36.0,26.0,21.0,11.0,54.0,6,8,28,20
1,0021900018,1610612750,Timberwolves,MIN,Minnesota,240:00,22.0,17.0,8.0,56.0,16.0,7.0,14.0,44.0,6,5,21,29,1610612766,Hornets,CHA,Charlotte,240:00,16.0,7.0,14.0,44.0,22.0,17.0,8.0,56.0,5,6,29,21
2,0021900018,1610612766,Hornets,CHA,Charlotte,240:00,16.0,7.0,14.0,44.0,22.0,17.0,8.0,56.0,5,6,29,21,1610612750,Timberwolves,MIN,Minnesota,240:00,22.0,17.0,8.0,56.0,16.0,7.0,14.0,44.0,6,5,21,29
1,0021900019,1610612752,Knicks,NYK,New York,240:00,22.0,15.0,13.0,32.0,31.0,12.0,21.0,34.0,4,2,31,26,1610612751,Nets,BKN,Brooklyn,240:00,31.0,12.0,21.0,34.0,22.0,15.0,13.0,32.0,2,4,26,31
2,0021900019,1610612751,Nets,BKN,Brooklyn,240:00,31.0,12.0,21.0,34.0,22.0,15.0,13.0,32.0,2,4,26,31,1610612752,Knicks,NYK,New York,240:00,22.0,15.0,13.0,32.0,31.0,12.0,21.0,34.0,4,2,31,26
1,0021900020,1610612763,Grizzlies,MEM,Memphis,240:00,11.0,19.0,16.0,56.0,17.0,15.0,25.0,52.0,6,7,21,21,1610612741,Bulls,CHI,Chicago,240:00,17.0,15.0,25.0,52.0,11.0,19.0,16.0,56.0,7,6,21,21
2,0021900020,1610612741,Bulls,CHI,Chicago,240:00,17.0,15.0,25.0,52.0,11.0,19.0,16.0,56.0,7,6,21,21,1610612763,Grizzlies,MEM,Memphis,240:00,11.0,19.0,16.0,56.0,17.0,15.0,25.0,52.0,6,7,21,21
1,0021900021,1610612740,Pelicans,NOP,New Orleans,240:00,17.0,9.0,15.0,54.0,20.0,12.0,28.0,56.0,3,7,22,19,1610612742,Mavericks,DAL,Dallas,240:00,20.0,12.0,28.0,56.0,17.0,9.0,15.0,54.0,7,3,19,22
2,0021900021,1610612742,Mavericks,DAL,Dallas,240:00,20.0,12.0,28.0,56.0,17.0,9.0,15.0,54.0,7,3,19,22,1610612740,Pelicans,NOP,New Orleans,240:00,17.0,9.0,15.0,54.0,20.0,12.0,28.0,56.0,3,7,22,19
1,0021900022,1610612764,Wizards,WAS,Washington,240:00,17.0,13.0,10.0,46.0,11.0,3.0,7.0,42.0,6,6,21,18,1610612760,Thunder,OKC,Oklahoma City,240:00,11.0,3.0,7.0,42.0,17.0,13.0,10.0,46.0,6,6,18,21
2,0021900022,1610612760,Thunder,OKC,Oklahoma City,240:00,11.0,3.0,7.0,42.0,17.0,13.0,10.0,46.0,6,6,18,21,1610612764,Wizards,WAS,Washington,240:00,17.0,13.0,10.0,46.0,11.0,3.0,7.0,42.0,6,6,21,18
1,0021900023,1610612756,Suns,PHX,Phoenix,265:00,14.0,7.0,10.0,48.0,23.0,10.0,14.0,48.0,1,12,35,26,1610612743,Nuggets,DEN,Denver,265:00,23.0,10.0,14.0,48.0,14.0,7.0,10.0,48.0,12,1,26,35
2,0021900023,1610612743,Nuggets,DEN,Denver,265:00,23.0,10.0,14.0,48.0,14.0,7.0,10.0,48.0,12,1,26,35,1610612756,Suns,PHX,Phoenix,265:00,14.0,7.0,10.0,48.0,23.0,10.0,14.0,48.0,1,12,35,26
1,0021900024,1610612758,Kings,SAC,Sacramento,240:00,21.0,19.0,10.0,38.0,24.0,12.0,4.0,46.0,2,5,26,23,1610612757,Trail Blazers,POR,Portland,240:00,24.0,12.0,4.0,46.0,21.0,19.0,10.0,38.0,5,2,23,26
2,0021900024,1610612757,Trail Blazers,POR,Portland,240:00,24.0,12.0,4.0,46.0,21.0,19.0,10.0,38.0,5,2,23,26,1610612758,Kings,SAC,Sacramento,240:00,21.0,19.0,10.0,38.0,24.0,12.0,4.0,46.0,2,5,26,23
1,0021900025,1610612762,Jazz,UTA,Utah,240:00,17.0,4.0,14.0,38.0,22.0,15.0,13.0,40.0,2,9,25,21,1610612747,Lakers,LAL,Los Angeles,240:00,22.0,15.0,13.0,40.0,17.0,4.0,14.0,38.0,9,2,21,25
2,0021900025,1610612747,Lakers,LAL,Los Angeles,240:00,22.0,15.0,13.0,40.0,17.0,4.0,14.0,38.0,9,2,21,25,1610612762,Jazz,UTA,Utah,240:00,17.0,4.0,14.0,38.0,22.0,15.0,13.0,40.0,2,9,25,21
1,0021900026,1610612749,Bucks,MIL,Milwaukee,265:00,16.0,5.0,25.0,42.0,27.0,13.0,11.0,48.0,4,3,32,30,1610612748,Heat,MIA,Miami,265:00,27.0,13.0,11.0,48.0,16.0,5.0,25.0,42.0,3,4,30,32
2,0021900026,1610612748,Heat,MIA,Miami,265:00,27.0,13.0,11.0,48.0,16.0,5.0,25.0,42.0,3,4,30,32,1610612749,Bucks,MIL,Milwaukee,265:00,16.0,5.0,25.0,42.0,27.0,13.0,11.0,48.0,4,3,32,30
1,0021900027,1610612755,76ers,PHI,Philadelphia,240:00,31.0,6.0,7.0,50.0,23.0,12.0,10.0,54.0,3,7,26,28,1610612765,Pistons,DET,Detroit,240:00,23.0,12.0,10.0,54.0,31.0,6.0,7.0,50.0,7,3,28,26
2,0021900027,1610612765,Pistons,DET,Detroit,240:00,23.0,12.0,10.0,54.0,31.0,6.0,7.0,50.0,7,3,28,26,1610612755,76ers,PHI,Philadelphia,240:00,31.0,6.0,7.0,50.0,23.0,12.0,10.0,54.0,3,7,26,28
1,0021900028,1610612753,Magic,ORL,Orlando,240:00,19.0,23.0,8.0,50.0,10.0,13.0,14.0,60.0,7,9,15,26,1610612737,Hawks,ATL,Atlanta,240:00,10.0,13.0,14.0,60.0,19.0,23.0,8.0,50.0,9,7,26,15
2,0021900028,1610612737,Hawks,ATL,Atlanta,240:00,10.0,13.0,14.0,60.0,19.0,23.0,8.0,50.0,9,7,26,15,1610612753,Magic,ORL,Orlando,240:00,19.0,23.0,8.0,50.0,10.0,13.0,14.0,60.0,7,9,15,26
1,0021900029,1610612752,Knicks,NYK,New York,240:00,16.0,23.0,2.0,40.0,36.0,14.0,16.0,50.0,4,9,26,26,1610612738,Celtics,BOS,Boston,240:00,36.0,14.0,16.0,50.0,16.0,23.0,2.0,40.0,9,4,26,26
2,0021900029,1610612738,Celtics,BOS,Boston,240:00,36.0,14.0,16.0,50.0,16.0,23.0,2.0,40.0,9,4,26,26,1610612752,Knicks,NYK,New York,240:00,16.0,23.0,2.0,40.0,36.0,14.0,16.0,50.0,4,9,26,26
1,0021900030,1610612754,Pacers,IND,Indiana,240:00,27.0,9.0,13.0,48.0,13.0,14.0,4.0,50.0,3,7,27,20,1610612739,Cavaliers,CLE,Cleveland,240:00,13.0,14.0,4.0,50.0,27.0,9.0,13.0,48.0,7,3,20,27
2,0021900030,1610612739,Cavaliers,CLE,Cleveland,240:00,13.0,14.0,4.0,50.0,27.0,9.0,13.0,48.0,7,3,20,27,1610612754,Pacers,IND,Indiana,240:00,27.0,9.0,13.0,48.0,13.0,14.0,4.0,50.0,3,7,27,20
1,0021900031,1610612761,Raptors,TOR,Toronto,240:00,18.0,6.0,25.0,38.0,20.0,15.0,7.0,38.0,12,2,25,22,1610612741,Bulls,CHI,Chicago,240:00,20.0,15.0,7.0,38.0,18.0,6.0,25.0,38.0,2,12,22,25
2,0021900031,1610612741,Bulls,CHI,Chicago,240:00,20.0,15.0,7.0,38.0,18.0,6.0,25.0,38.0,2,12,22,25,1610612761,Raptors,TOR,Toronto,240:00,18.0,6.0,25.0,38.0,20.0,15.0,7.0,38.0,12,2,25,22
1,0021900032,1610612740,Pelicans,NOP,New Orleans,240:00,25.0,16.0,13.0,48.0,20.0,19.0,17.0,60.0,2,4,30,22,1610612745,Rockets,HOU,Houston,240:00,20.0,19.0,17.0,60.0,25.0,16.0,13.0,48.0,4,2,22,30
2,0021900032,1610612745,Rockets,HOU,Houston,240:00,20.0,19.0,17.0,60.0,25.0,16.0,13.0,48.0,4,2,22,30,1610612740,Pelicans,NOP,New Orleans,240:00,25.0,16.0,13.0,48.0,20.0,19.0,17.0,60.0,2,4,30,22
1,0021900033,1610612764,Wizards,WAS,Washington,240:00,15.0,14.0,12.0,46.0,13.0,18.0,13.0,62.0,8,7,15,19,1610612759,Spurs,SAS,San Antonio,240:00,13.0,18.0,13.0,62.0,15.0,14.0,12.0,46.0,7,8,19,15
2,0021900033,1610612759,Spurs,SAS,San Antonio,240:00,13.0,18.0,13.0,62.0,15.0,14.0,12.0,46.0,7,8,19,15,1610612764,Wizards,WAS,Washington,240:00,15.0,14.0,12.0,46.0,13.0,18.0,13.0,62.0,8,7,15,19
1,0021900034,1610612762,Jazz,UTA,Utah,240:00,17.0,7.0,12.0,46.0,20.0,6.0,4.0,36.0,1,3,22,19,1610612758,Kings,SAC,Sacramento,240:00,20.0,6.0,4.0,36.0,17.0,7.0,12.0,46.0,3,1,19,22
2,0021900034,1610612758,Kings,SAC,Sacramento,240:00,20.0,6.0,4.0,36.0,17.0,7.0,12.0,46.0,3,1,19,22,1610612762,Jazz,UTA,Utah,240:00,17.0,7.0,12.0,46.0,20.0,6.0,4.0,36.0,1,3,22,19
1,0021900035,1610612756,Suns,PHX,Phoenix,240:00,20.0,13.0,16.0,48.0,20.0,12.0,15.0,44.0,3,4,34,32,1610612746,Clippers,LAC,LA,240:00,20.0,12.0,15.0,44.0,20.0,13.0,16.0,48.0,4,3,32,34
2,0021900035,1610612746,Clippers,LAC,LA,240:00,20.0,12.0,15.0,44.0,20.0,13.0,16.0,48.0,4,3,32,34,1610612756,Suns,PHX,Phoenix,240:00,20.0,13.0,16.0,48.0,20.0,12.0,15.0,44.0,3,4,34,32
1,0021900036,1610612760,Thunder,OKC,Oklahoma City,240:00,26.0,12.0,18.0,46.0,21.0,10.0,3.0,40.0,5,2,26,15,1610612744,Warriors,GSW,Golden State,240:00,21.0,10.0,3.0,40.0,26.0,12.0,18.0,46.0,2,5,15,26
2,0021900036,1610612744,Warriors,GSW,Golden State,240:00,21.0,10.0,3.0,40.0,26.0,12.0,18.0,46.0,2,5,15,26,1610612760,Thunder,OKC,Oklahoma City,240:00,26.0,12.0,18.0,46.0,21.0,10.0,3.0,40.0,5,2,26,15
1,0021900037,1610612763,Grizzlies,MEM,Memphis,265:00,18.0,11.0,18.0,54.0,16.0,19.0,18.0,56.0,10,5,29,22,1610612751,Nets,BKN,Brooklyn,265:00,16.0,19.0,18.0,56.0,18.0,11.0,18.0,54.0,5,10,22,29
2,0021900037,1610612751,Nets,BKN,Brooklyn,265:00,16.0,19.0,18.0,56.0,18.0,11.0,18.0,54.0,5,10,22,29,1610612763,Grizzlies,MEM,Memphis,265:00,18.0,11.0,18.0,54.0,16.0,19.0,18.0,56.0,10,5,29,22
1,0021900038,1610612757,Trail Blazers,POR,Portland,240:00,16.0,9.0,24.0,48.0,21.0,17.0,8.0,34.0,4,3,30,22,1610612742,Mavericks,DAL,Dallas,240:00,21.0,17.0,8.0,34.0,16.0,9.0,24.0,48.0,3,4,22,30
2,0021900038,1610612742,Mavericks,DAL,Dallas,240:00,21.0,17.0,8.0,34.0,16.0,9.0,24.0,48.0,3,4,22,30,1610612757,Trail Blazers,POR,Portland,240:00,16.0,9.0,24.0,48.0,21.0,17.0,8.0,34.0,4,3,30,22
1,0021900039,1610612750,Timberwolves,MIN,Minnesota,240:00,24.0,21.0,9.0,48.0,7.0,8.0,3.0,46.0,1,9,17,23,1610612748,Heat,MIA,Miami,240:00,7.0,8.0,3.0,46.0,24.0,21.0,9.0,48.0,9,1,23,17
2,0021900039,1610612748,Heat,MIA,Miami,240:00,7.0,8.0,3.0,46.0,24.0,21.0,9.0,48.0,9,1,23,17,1610612750,Timberwolves,MIN,Minnesota,240:00,24.0,21.0,9.0,48.0,7.0,8.0,3.0,46.0,1,9,17,23
1,0021900040,1610612747,Lakers,LAL,Los Angeles,240:00,11.0,15.0,16.0,74.0,9.0,22.0,26.0,44.0,8,4,22,20,1610612766,Hornets,CHA,Charlotte,240:00,9.0,22.0,26.0,44.0,11.0,15.0,16.0,74.0,4,8,20,22
2,0021900040,1610612766,Hornets,CHA,Charlotte,240:00,9.0,22.0,26.0,44.0,11.0,15.0,16.0,74.0,4,8,20,22,1610612747,Lakers,LAL,Los Angeles,240:00,11.0,15.0,16.0,74.0,9.0,22.0,26.0,44.0,8,4,22,20
1,0021900041,1610612754,Pacers,IND,Indiana,240:00,23.0,20.0,16.0,54.0,7.0,15.0,3.0,40.0,4,3,18,18,1610612765,Pistons,DET,Detroit,240:00,7.0,15.0,3.0,40.0,23.0,20.0,16.0,54.0,3,4,18,18
2,0021900041,1610612765,Pistons,DET,Detroit,240:00,7.0,15.0,3.0,40.0,23.0,20.0,16.0,54.0,3,4,18,18,1610612754,Pacers,IND,Indiana,240:00,23.0,20.0,16.0,54.0,7.0,15.0,3.0,40.0,4,3,18,18
1,0021900042,1610612752,Knicks,NYK,New York,240:00,14.0,26.0,8.0,50.0,18.0,13.0,13.0,46.0,6,5,19,22,1610612741,Bulls,CHI,Chicago,240:00,18.0,13.0,13.0,46.0,14.0,26.0,8.0,50.0,5,6,22,19
2,0021900042,1610612741,Bulls,CHI,Chicago,240:00,18.0,13.0,13.0,46.0,14.0,26.0,8.0,50.0,5,6,22,19,1610612752,Knicks,NYK,New York,240:00,14.0,26.0,8.0,50.0,18.0,13.0,13.0,46.0,6,5,19,22
1,0021900043,1610612755,76ers,PHI,Philadelphia,240:00,24.0,14.0,8.0,46.0,17.0,8.0,2.0,42.0,11,3,29,25,1610612737,Hawks,ATL,Atlanta,240:00,17.0,8.0,2.0,42.0,24.0,14.0,8.0,46.0,3,11,25,29
2,0021900043,1610612737,Hawks,ATL,Atlanta,240:00,17.0,8.0,2.0,42.0,24.0,14.0,8.0,46.0,3,11,25,29,1610612755,76ers,PHI,Philadelphia,240:00,24.0,14.0,8.0,46.0,17.0,8.0,2.0,42.0,11,3,29,25
1,0021900044,1610612761,Raptors,TOR,Toronto,240:00,13.0,4.0,21.0,36.0,18.0,11.0,12.0,36.0,2,6,20,20,1610612753,Magic,ORL,Orlando,240:00,18.0,11.0,12.0,36.0,13.0,4.0,21.0,36.0,6,2,20,20
2,0021900044,1610612753,Magic,ORL,Orlando,240:00,18.0,11.0,12.0,36.0,13.0,4.0,21.0,36.0,6,2,20,20,1610612761,Raptors,TOR,Toronto,240:00,13.0,4.0,21.0,36.0,18.0,11.0,12.0,36.0,2,6,20,20
1,0021900045,1610612760,Thunder,OKC,Oklahoma City,240:00,13.0,20.0,12.0,54.0,18.0,14.0,10.0,56.0,3,6,27,24,1610612745,Rockets,HOU,Houston,240:00,18.0,14.0,10.0,56.0,13.0,20.0,12.0,54.0,6,3,24,27
2,0021900045,1610612745,Rockets,HOU,Houston,240:00,18.0,14.0,10.0,56.0,13.0,20.0,12.0,54.0,6,3,24,27,1610612760,Thunder,OKC,Oklahoma City,240:00,13.0,20.0,12.0,54.0,18.0,14.0,10.0,56.0,3,6,27,24
1,0021900046,1610612749,Bucks,MIL,Milwaukee,240:00,22.0,16.0,24.0,58.0,9.0,13.0,11.0,50.0,7,3,15,22,1610612739,Cavaliers,CLE,Cleveland,240:00,9.0,13.0,11.0,50.0,22.0,16.0,24.0,58.0,3,7,22,15
2,0021900046,1610612739,Cavaliers,CLE,Cleveland,240:00,9.0,13.0,11.0,50.0,22.0,16.0,24.0,58.0,3,7,22,15,1610612749,Bucks,MIL,Milwaukee,240:00,22.0,16.0,24.0,58.0,9.0,13.0,11.0,50.0,7,3,15,22
1,0021900047,1610612740,Pelicans,NOP,New Orleans,240:00,21.0,13.0,19.0,62.0,20.0,30.0,15.0,66.0,7,2,20,22,1610612744,Warriors,GSW,Golden State,240:00,20.0,30.0,15.0,66.0,21.0,13.0,19.0,62.0,2,7,22,20
2,0021900047,1610612744,Warriors,GSW,Golden State,240:00,20.0,30.0,15.0,66.0,21.0,13.0,19.0,62.0,2,7,22,20,1610612740,Pelicans,NOP,New Orleans,240:00,21.0,13.0,19.0,62.0,20.0,30.0,15.0,66.0,7,2,20,22
1,0021900048,1610612759,Spurs,SAS,San Antonio,240:00,16.0,14.0,22.0,54.0,16.0,15.0,18.0,46.0,9,8,19,27,1610612757,Trail Blazers,POR,Portland,240:00,16.0,15.0,18.0,46.0,16.0,14.0,22.0,54.0,8,9,27,19
2,0021900048,1610612757,Trail Blazers,POR,Portland,240:00,16.0,15.0,18.0,46.0,16.0,14.0,22.0,54.0,8,9,27,19,1610612759,Spurs,SAS,San Antonio,240:00,16.0,14.0,22.0,54.0,16.0,15.0,18.0,46.0,9,8,19,27
1,0021900049,1610612762,Jazz,UTA,Utah,240:00,18.0,9.0,17.0,32.0,13.0,2.0,11.0,34.0,5,3,26,31,1610612756,Suns,PHX,Phoenix,240:00,13.0,2.0,11.0,34.0,18.0,9.0,17.0,32.0,3,5,31,26
2,0021900049,1610612756,Suns,PHX,Phoenix,240:00,13.0,2.0,11.0,34.0,18.0,9.0,17.0,32.0,3,5,31,26,1610612762,Jazz,UTA,Utah,240:00,18.0,9.0,17.0,32.0,13.0,2.0,11.0,34.0,5,3,26,31
