,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,PTS_OFF_TOV_A,PTS_2ND_CHANCE_A,PTS_FB_A,PTS_PAINT_A,OPP_PTS_OFF_TOV_A,OPP_PTS_2ND_CHANCE_A,OPP_PTS_FB_A,OPP_PTS_PAINT_A,BLK_A,BLKA_A,PF_A,PFD_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,PTS_OFF_TOV_B,PTS_2ND_CHANCE_B,PTS_FB_B,PTS_PAINT_B,OPP_PTS_OFF_TOV_B,OPP_PTS_2ND_CHANCE_B,OPP_PTS_FB_B,OPP_PTS_PAINT_B,BLK_B,BLKA_B,PF_B,PFD_B
1,0021900001,1610612761,Raptors,TOR,Toronto,265:00,22.0,19.0,20.0,56.0,20.0,9.0,13.0,38.0,3,9,24,34,1610612740,Pelicans,NOP,New Orleans,265:00,20.0,9.0,13.0,38.0,22.0,19.0,20.0,56.0,9,3,34,24
2,0021900001,1610612740,Pelicans,NOP,New Orleans,265:00,20.0,9.0,13.0,38.0,22.0,19.0,20.0,56.0,9,3,34,24,1610612761,Raptors,TOR,Toronto,265:00,22.0,19.0,20.0,56.0,20.0,9.0,13.0,38.0,3,9,24,34
1,0021900002,1610612747,Lakers,LAL,Los Angeles,240:00,17.0,6.0,5.0,40.0,25.0,12.0,22.0,42.0,7,5,24,25,1610612746,Clippers,LAC,LA,240:00,25.0,12.0,22.0,42.0,17.0,6.0,5.0,40.0,5,7,25,24
2,0021900002,1610612746,Clippers,LAC,LA,240:00,25.0,12.0,22.0,42.0,17.0,6.0,5.0,40.0,5,7,25,24,1610612747,Lakers,LAL,Los Angeles,240:00,17.0,6.0,5.0,40.0,25.0,12.0,22.0,42.0,7,5,24,25
1,0021900003,1610612741,Bulls,CHI,Chicago,240:00,29.0,17.0,21.0,78.0,13.0,12.0,25.0,42.0,4,4,20,18,1610612766,Hornets,CHA,Charlotte,240:00,13.0,12.0,25.0,42.0,29.0,17.0,21.0,78.0,4,4,18,20
2,0021900003,1610612766,Hornets,CHA,Charlotte,240:00,13.0,12.0,25.0,42.0,29.0,17.0,21.0,78.0,4,4,18,20,1610612741,Bulls,CHI,Chicago,240:00,29.0,17.0,21.0,78.0,13.0,12.0,25.0,42.0,4,4,20,18
1,0021900004,1610612754,Pacers,IND,Indiana,240:00,17.0,19.0,8.0,50.0,14.0,17.0,12.0,46.0,6,6,28,21,1610612765,Pistons,DET,Detroit,240:00,14.0,17.0,12.0,46.0,17.0,19.0,8.0,50.0,6,6,21,28
2,0021900004,1610612765,Pistons,DET,Detroit,240:00,14.0,17.0,12.0,46.0,17.0,19.0,8.0,50.0,6,6,21,28,1610612754,Pacers,IND,Indiana,240:00,17.0,19.0,8.0,50.0,14.0,17.0,12.0,46.0,6,6,28,21
1,0021900005,1610612753,Magic,ORL,Orlando,240:00,11.0,8.0,14.0,50.0,11.0,7.0,10.0,42.0,4,2,18,15,1610612739,Cavaliers,CLE,Cleveland,240:00,11.0,7.0,10.0,42.0,11.0,8.0,14.0,50.0,2,4,15,18
2,0021900005,1610612739,Cavaliers,CLE,Cleveland,240:00,11.0,7.0,10.0,42.0,11.0,8.0,14.0,50.0,2,4,15,18,1610612753,Magic,ORL,Orlando,240:00,11.0,8.0,14.0,50.0,11.0,7.0,10.0,42.0,4,2,18,15
1,0021900006,1610612750,Timberwolves,MIN,Minnesota,265:00,15.0,14.0,8.0,60.0,14.0,8.0,20.0,60.0,4,9,22,30,1610612751,Nets,BKN,Brooklyn,265:00,14.0,8.0,20.0,60.0,15.0,14.0,8.0,60.0,9,4,30,22
